#
# wiki-Vote in Degree. G(7115, 103689). 1321 (0.1857) nodes with in-deg > avg deg (29.1), 617 (0.0867) with >2*avg.deg (Thu Jan  7 16:37:02 2021)
#
# In-degree	Count
0	4734
1	78
2	45
3	51
4	40
5	54
6	42
7	44
8	39
9	38
10	44
11	44
12	44
13	44
14	35
15	34
16	24
17	35
18	36
19	19
20	27
21	29
22	38
23	19
24	30
25	22
26	26
27	21
28	28
29	30
30	27
31	26
32	19
33	28
34	33
35	22
36	10
37	22
38	30
39	28
40	23
41	20
42	23
43	29
44	20
45	21
46	29
47	31
48	30
49	24
50	24
51	26
52	19
53	26
54	28
55	19
56	17
57	29
58	21
59	18
60	23
61	21
62	12
63	21
64	22
65	19
66	12
67	14
68	8
69	14
70	8
71	15
72	13
73	12
74	19
75	9
76	6
77	14
78	10
79	11
80	7
81	14
82	14
83	8
84	5
85	8
86	3
87	6
88	11
89	7
90	11
91	2
92	4
93	8
94	6
95	6
96	1
97	8
99	5
100	6
101	10
102	1
103	1
104	7
105	7
106	2
107	5
108	3
109	3
110	5
111	2
112	1
113	3
114	1
115	4
116	3
117	6
118	3
121	1
122	3
123	1
124	2
126	2
127	2
128	3
129	1
130	2
131	2
132	1
133	2
134	2
135	3
136	3
137	1
139	1
140	2
141	2
144	2
145	3
146	1
147	1
148	1
149	4
151	1
153	2
154	1
155	1
158	2
160	1
162	4
164	2
165	2
167	1
170	1
173	1
175	2
178	1
181	3
186	2
188	1
189	1
190	1
191	1
192	2
193	2
195	2
197	1
203	1
208	1
213	1
217	1
219	1
223	1
228	1
231	1
232	1
244	1
245	1
254	1
259	1
264	1
265	1
266	1
272	1
274	1
309	1
331	1
340	1
361	1
457	1
